survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,deck,embarked,embark_town,alive,alone
0,3,male,22,1,0,7.25,Third,man,True,,S,Southampton,no,False
1,1,female,38,1,0,71.2833,First,woman,False,C,C,Cherbourg,yes,False
1,3,female,26,0,0,7.925,Third,woman,False,,S,Southampton,yes,True
1,1,female,35,1,0,53.1,First,woman,False,C,S,Southampton,yes,False
0,3,male,35,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,male,,0,0,8.4583,Third,man,True,,Q,Queenstown,no,True
0,1,male,54,0,0,51.8625,First,man,True,E,S,Southampton,no,True
0,3,male,2,3,1,21.075,Third,child,False,,S,Southampton,no,False
1,3,female,27,0,2,11.1333,Third,woman,False,,S,Southampton,yes,False
1,2,female,14,1,0,30.0708,Second,child,False,,C,Cherbourg,yes,False
1,3,female,4,1,1,16.7,Third,child,False,G,S,Southampton,yes,False
1,1,female,58,0,0,26.55,First,woman,False,C,S,Southampton,yes,True
0,3,male,20,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,male,39,1,5,31.275,Third,man,True,,S,Southampton,no,False
0,3,female,14,0,0,7.8542,Third,child,False,,S,Southampton,no,True
1,2,female,55,0,0,16,Second,woman,False,,S,Southampton,yes,True
0,3,male,2,4,1,29.125,Third,child,False,,Q,Queenstown,no,False
1,2,male,,0,0,13,Second,man,True,,S,Southampton,yes,True
0,3,female,31,1,0,18,Third,woman,False,,S,Southampton,no,False
1,3,female,,0,0,7.225,Third,woman,False,,C,Cherbourg,yes,True
0,2,male,35,0,0,26,Second,man,True,,S,Southampton,no,True
1,2,male,34,0,0,13,Second,man,True,D,S,Southampton,yes,True
1,3,female,15,0,0,8.0292,Third,child,False,,Q,Queenstown,yes,True
1,1,male,28,0,0,35.5,First,man,True,A,S,Southampton,yes,True
0,3,female,8,3,1,21.075,Third,child,False,,S,Southampton,no,False
1,3,female,38,1,5,31.3875,Third,woman,False,,S,Southampton,yes,False
0,3,male,,0,0,7.225,Third,man,True,,C,Cherbourg,no,True
0,1,male,19,3,2,263,First,man,True,C,S,Southampton,no,False
1,3,female,,0,0,7.8792,Third,woman,False,,Q,Queenstown,yes,True
0,3,male,,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,1,male,40,0,0,27.7208,First,man,True,,C,Cherbourg,no,True
1,1,female,,1,0,146.5208,First,woman,False,B,C,Cherbourg,yes,False
1,3,female,,0,0,7.75,Third,woman,False,,Q,Queenstown,yes,True
0,2,male,66,0,0,10.5,Second,man,True,,S,Southampton,no,True
0,1,male,28,1,0,82.1708,First,man,True,,C,Cherbourg,no,False
0,1,male,42,1,0,52,First,man,True,,S,Southampton,no,False
1,3,male,,0,0,7.2292,Third,man,True,,C,Cherbourg,yes,True
0,3,male,21,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,female,18,2,0,18,Third,woman,False,,S,Southampton,no,False
1,3,female,14,1,0,11.2417,Third,child,False,,C,Cherbourg,yes,False
0,3,female,40,1,0,9.475,Third,woman,False,,S,Southampton,no,False
0,2,female,27,1,0,21,Second,woman,False,,S,Southampton,no,False
0,3,male,,0,0,7.8958,Third,man,True,,C,Cherbourg,no,True
1,2,female,3,1,2,41.5792,Second,child,False,,C,Cherbourg,yes,False
1,3,female,19,0,0,7.8792,Third,woman,False,,Q,Queenstown,yes,True
0,3,male,,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,male,,1,0,15.5,Third,man,True,,Q,Queenstown,no,False
1,3,female,,0,0,7.75,Third,woman,False,,Q,Queenstown,yes,True
0,3,male,,2,0,21.6792,Third,man,True,,C,Cherbourg,no,False
0,3,female,18,1,0,17.8,Third,woman,False,,S,Southampton,no,False
